1,L'attacco dei giganti,2013–2023,9.0
2,South Park,1997– ,8.7
3,Star Wars: The Bad Batch,2021– ,7.8
4,I Simpson,1989– ,8.7
5,I Griffin,1999– ,8.2
6,All'arrembaggio! - One Piece,1999– ,8.9
7,Demon Slayer - Kimetsu no yaiba,2019– ,8.7
8,La leggenda di Vox Machina,2022– ,8.4
9,Rick and Morty,2013– ,9.1
10,Bob's Burgers,2011– ,8.2
11,Velma,2023– ,1.5
12,My Hero Academia,2016– ,8.4
13,Vinland Saga,2019– ,8.8
14,BoJack Horseman,2014–2020,8.8
15,Star Wars: The Clone Wars,2008–2020,8.4
16,Love, Death & Robots,2019– ,8.4
17,Invincible,2021– ,8.7
18,Avatar - La leggenda di Aang,2005–2008,9.3
19,Bluey,2018– ,9.5
20,Arcane,2021– ,9.
21,Futurama,1999–2023,8.5
22,Chainsaw Man,2022– ,8.5
23,SpongeBob SquarePants,1999– ,8.2
24,Archer,2009– ,8.6
25,Harley Quinn,2019– ,8.5
26,Naruto: Shippuden,2007–2017,8.7
27,Naruto,2002–2007,8.4
28,Miraculous - Le storie di Ladybug e Chat Noir,2015– ,7.6
29,Hunter x Hunter,2011–2014,9.
30,American Dad!,2005– ,7.4
31,King of the Hill,1997–2010,7.5
32,Blue Lock,2022– ,8.4
33,Death Note,2006–2007,9.0
34,Adventure Time,2010–2018,8.6
35,Star Wars: Rebels,2014–2018,8.36,Jujutsu Kaisen,2020– ,8.5
37,Le bizzarre avventure di JoJo,2012– ,8.5
38,Tokyo Revengers,2021– ,8.39,The Owl House,2020–2023,8.4
40,Gravity Falls,2012–2016,8.9
41,Fullmetal Alchemist : Brotherhood,2009–2010,9.1
42,Black Clover,2017–2021,8.3
43,Bleach,2004–2012,8.2
44,Monster,2004–2005,8.7
45,Batman,1992–1995,9.46,Cyberpunk: Edgerunners,2022,8.3
47,Dragon Ball Z,1989–1996,8.8
48,Big Mouth,2017– ,7.9
49,What If...?,2021– ,7.4
50,Pokémon,1997– ,7.5
