Seleziona periodo	2022
Sesso	maschi	femmine	totale
		
Italia		28 818 956	30 211 177	59 030 133

Nord-ovest		7 741 607	8 090 334	15 831 941
Piemonte		2 073 845	2 182 505	4 256 350
Valle d'Aosta / Vallée d'Aoste		60 413	62 947	123 360
Liguria		725 821	783 406	1 509 227
Lombardia		4 881 528	5 061 476	9 943 004

Nord-est		5 657 451	5 883 881	11 541 332
Trentino Alto Adige / Südtirol		530 469	543 105	1 073 574
Provincia Autonoma Bolzano / Bozen		264 129	268 487	532 616
Provincia Autonoma Trento		266 340	274 618	540 958
Veneto		2 380 743	2 467 002	4 847 745
Friuli-Venezia Giulia		582 704	611 943	1 194 647
Emilia-Romagna		2 163 535	2 261 831	4 425 366

Centro		5 685 827	6 038 208	11 724 035
Toscana		1 776 806	1 886 385	3 663 191
Umbria		415 195	443 617	858 812
Marche		725 470	761 680	1 487 150
Lazio		2 768 356	2 946 526	5 714 882

Sud		6 601 628	6 910 455	13 512 083
Abruzzo		624 162	651 788	1 275 950
Molise		144 013	148 137	292 150
Campania		2 747 577	2 876 843	5 624 420
Puglia		1 910 909	2 012 032	3 922 941
Basilicata		266 478	274 690	541 168
Calabria		908 489	946 965	1 855 454

Isole		3 132 443	3 288 299	6 420 742
Sicilia		2 353 773	2 479 556	4 833 329
Sardegna		778 670	808 743	1 587 413
