country, dependency, or territory;total area in square miles;total area in square km;total area rank
Russia;6592812;17075400;1
Canada;3855081;9984670;2
United States1;3809525;9866289;3
China;3696097;9572900;4
Brazil;3285872;8510418;5
Australia;2968385;7688126;6
India;1269292;3287469;7
Argentina;1044319;2704789;8
Kazakhstan;1052084;2724900;9
Algeria;91959;2381741;10
Democratic Republic of the Congo;905405;2345000;11
Greenland;836326;2166086;12
Saudi Arabia;829995;2149690;13
Mexico;758445;1964375;14
Indonesia;73066;1892410;15
Sudan;710689;1840687;16
Libya;64718;1676198;17
Iran;62967;1630848;18
Mongolia;603953;1564241;19
Peru;496171;1285082;20
Chad;495753;1284000;21
Niger;489189;1267000;22
Angola;481351;1246700;23
Mali;479242;1241238;24
South Africa;471356;1220813;25
Colombia;440829;1141748;26
Ethiopia;432432;1120000;27
Bolivia;424162;1098581;28
Mauritania;397953;1030700;29
Egypt;384788;996603;30
Tanzania;365058;9455;31
Nigeria;356667;923768;32
Venezuela;353839;916445;33
Namibia;318259;824292;34
Mozambique;308641;79938;35
Pakistan;307373;796096;36
Turkey;297144;769604;37
Chile;291929;756096;38
Zambia;290583;752612;39
Myanmar;261217;676553;40
Afghanistan;252072;652867;41
South Sudan;248775;644329;42
Somalia;246199;637657;43
Central African Republic;240323;622436;44
Ukraine;23303;603549;45
Madagascar;228531;591896;46
Kenya;22496;582646;47
Botswana;224606;58173;48
France2;210016;543941;49
Thailand;198123;51314;50
Spain;19536;505983;51
Turkmenistan;189656;49121;52
Cameroon;179942;46605;53
Papua New Guinea;178354;461937;54
Yemen;175676;455000;55
Uzbekistan;173348;448971;56
Sweden;172751;447425;57
Iraq;167974;435052;58
Morocco3;161004;417;59
Paraguay;157047;406752;60
Zimbabwe;150871;390757;61
Norway4;148449;384482;62
Japan;145934;377969;63
Germany;138068;357596;64
Republic of the Congo;132046;342;65
Finland;130689;338485;66
Côte d’Ivoire;124503;322462;67
Vietnam;127932;331345;68
Malaysia;127752;330877;69
Poland;120423;311895;70
Oman;119498;3095;71
Italy;116629;302069;72
Philippines;11583;300;73
Western Sahara;105019;272;74
Burkina Faso;104542;270764;75
Gabon;103346;267667;76
New Zealand;102587;2657;77
Ecuador;9917;25685;78
Guinea;94925;245857;79
United Kingdom;93629;2425;80
Uganda;93264;241553;81
Ghana;92098;238533;82
Romania;92045;238397;83
Laos;91428;2368;84
Guyana;83011;214999;85
Belarus;80166;207629;86
Kyrgyzstan;77199;199945;87
Senegal;75951;196712;88
Uruguay;74655;193356;89
Syria;7148;18518;90
Cambodia;69898;181035;91
Suriname;63251;16382;92
Tunisia;6317;16361;93
Bangladesh5;56977;14757;94
Nepal;56827;147181;95
Tajikistan;54595;1414;96
Greece;50984;132049;97
Nicaragua;50337;130373;98
North Korea;47573;123214;99
Eritrea;46757;1211;100
Malawi;45853;11876;101
Benin;4431;114763;102
Honduras;43433;112492;103
Bulgaria;42614;110372;104
Cuba;42426;109884;105
Guatemala;42042;108889;106
Iceland;39768;103;107
South Korea;38696;100222;108
Liberia;37466;97036;109
Hungary;35916;93023;110
Portugal;35608;92225;111
Jordan;34283;88794;112
Azerbaijan;33166;859;113
Austria;32388;83884;114
French Guiana;32373;83846;115
Czech Republic;30452;7887;116
Serbia6;29957;77589;117
Panama;29081;7532;118
Sierra Leone;28158;72929;119
United Arab Emirates;27422;71024;120
Georgia7;26911;697;121
Ireland;27458;71118;122
Sri Lanka;25332;6561;123
Lithuania;25207;65286;124
Latvia;2494;64594;125
Togo;21853;566;126
Croatia;21851;56594;127
Bosnia and Herzegovina;19772;51209;128
Costa Rica;1973;511;129
Slovakia;18932;49034;130
Dominican Republic;18653;48311;131
Estonia;17505;45339;132
Denmark;16585;42954;133
Netherlands;1403;36337;134
Switzerland;15942;41291;135
Bhutan;14824;38394;136
Taiwan;13976;36198;137
Guinea-Bissau;13948;36125;138
Moldova;13067;33843;139
Belgium;11849;30689;140
Solomon Islands;1174;30407;141
Lesotho;1172;30355;142
Armenia;11484;29743;143
Albania;11082;28703;144
Equatorial Guinea;10831;28052;145
Burundi;10747;27834;146
Haiti;1045;27065;147
Rwanda;10169;26338;148
North Macedonia;9821;25436;149
Djibouti;888;23;150
Belize;8867;22965;151
Israel8;8522;22072;152
El Salvador;8124;21041;153
Slovenia;7827;20271;154
New Caledonia;7172;18567;155
Fiji;7055;18272;156
Kuwait;688;17818;157
Eswatini;6704;17364;158
East Timor;5772;1495;159
The Bahamas;5382;13939;160
Montenegro;536;13883;161
Vanuatu;4742;12281;162
Qatar;4493;11637;163
Jamaica;4244;10991;164
Kosovo;421;10905;165
The Gambia;4127;10689;166
Lebanon;4036;10452;167
Cyprus9;3572;9251;168
Puerto Rico;3424;8868;169
Brunei;2226;5765;170
West Bank10;2185;566;171
Trinidad and Tobago;198;5128;172
Cabo Verde (Cape Verde);1557;4033;173
French Polynesia;1609;4167;174
Samoa;1093;283;175
Luxembourg;998;2586;176
Réunion;970;2512;177
Mauritius;775;2007;178
Comoros;719;1861;179
Guadeloupe11;629;1628;180
Faroe Islands;539;1396;181
Martinique;436;1128;182
Hong Kong;430;1114;183
Sao Tome and Principe;386;1001;184
Kiribati;313;811;185
Bahrain;304;787;186
Dominica;290;751;187
Singapore;284;735;188
Micronesia;271;701;189
Tonga;251;650;190
Saint Lucia;238;616;191
Isle of Man;221;572;192
Guam;217;561;193
Palau;188;488;194
Northern Mariana Islands;182;472;195
Andorra;181;468;196
