Title,Rating
Le ali della libertà (1994),9.2
Il padrino (1972),9.2
Il cavaliere oscuro (2008),9
Il padrino - Parte II (1974),9
La parola ai giurati (1957),9
Schindler's List (1993),8.9
Il Signore degli Anelli - Il ritorno del re (2003),8.9
Pulp Fiction (1994),8.8
Il Signore degli Anelli - La compagnia dell'Anello (2001),8.8
Il buono. il brutto. il cattivo (1966),8.8
Forrest Gump (1994),8.8
Fight Club (1999),8.7
Il Signore degli Anelli - Le due torri (2002),8.7
Inception (2010),8.7
L'Impero colpisce ancora (1980),8.7
Matrix (1999),8.7
Quei bravi ragazzi (1990),8.7
Qualcuno volò sul nido del cuculo (1975),8.6
Seven (1995),8.6
I sette samurai (1954),8.6
La vita è meravigliosa (1946),8.6
Il silenzio degli innocenti (1991),8.6
Salvate il soldato Ryan (1998),8.6
City of God (2002),8.6
Interstellar (2014),8.6
La vita è bella (1997),8.6
Il miglio verde (1999),8.6
Guerre stellari (1977),8.5
Terminator 2 - Il giorno del giudizio (1991),8.5
Ritorno al futuro (1985),8.5
La città incantata (2001),8.5
Il pianista (2002),8.5
Psyco (1960),8.5
Parasite (2019),8.5
Léon (1994),8.5
Il re leone (1994),8.5
Il gladiatore (2000),8.5
American History X (1998),8.5
The Departed - Il bene e il male (2006),8.5
The Prestige (2006),8.5
Whiplash (2014),8.5
I soliti sospetti (1995),8.5
Casablanca (1942),8.5
Una tomba per le lucciole (1988),8.5
Harakiri (1962),8.5
Quasi amici - Intouchables (2011),8.5
Tempi moderni (1936),8.4
C'era una volta il West (1968),8.4
Nuovo Cinema Paradiso (1988),8.4
La finestra sul cortile (1954),8.4
Alien (1979),8.4
Luci della città (1931),8.4
Apocalypse Now (1979),8.4
Memento (2000),8.4
Django Unchained (2012),8.4
I predatori dell'arca perduta (1981),8.4
WALL·E (2008),8.4
Le vite degli altri (2006),8.4
Viale del tramonto (1950),8.4
Orizzonti di gloria (1957),8.4
Shining (1980),8.4
Il grande dittatore (1940),8.4
Avengers: Infinity War (2018),8.4
Testimone d'accusa (1957),8.4
Aliens - Scontro finale (1986),8.3
Spider-Man: Un nuovo universo (2018),8.3
American Beauty (1999),8.3
Il dottor Stranamore - Ovvero: come ho imparato a non preoccuparmi e ad amare la bomba (1964),8.3
Il cavaliere oscuro - Il ritorno (2012),8.3
Oldboy (2003),8.3
Bastardi senza gloria (2009),8.3
Amadeus (1984),8.3
Coco (2017),8.3
Toy Story - Il mondo dei giocattoli (1995),8.3
Braveheart - Cuore impavido (1995),8.3
Joker (2019),8.3
U-Boot 96 (1981),8.3
Avengers: Endgame (2019),8.3
Principessa Mononoke (1997),8.3
C'era una volta in America (1984),8.3
Will Hunting - Genio ribelle (1997),8.3
Your Name. (2016),8.3
Cantando sotto la pioggia (1952),8.3
3 Idiots (2009),8.3
Requiem for a Dream (2000),8.3
Anatomia di un rapimento (1963),8.3
Toy Story 3 - La grande fuga (2010),8.3
Cafarnao - Caos e miracoli (2018),8.3
Il ritorno dello Jedi (1983),8.3
