RAGIONE SOCIALE,"RICAVI 2021 
(000 eur)","VAR. 21/20 
(%)","RISULT. 2021 
(000 eur)"
GESTORE DEI MERCATI ENERGETICI S.P.A.,42027731,"221,4",5348
ENEL ENERGIA S.P.A.,15137759,"16,2",908078
A2A S.P.A.,8196015,"107,8",485478
SERVIZIO ELETTRICO NAZIONALE S.P.A.,7670146,"23,6",35434
ENEL PRODUZIONE S.P.A.,7220748,"65,2",-459931
E-DISTRIBUZIONE S.P.A.,6851623,"2,7",1287953
HERA TRADING S.R.L.,6392918,"127,5",14573
ACQUIRENTE UNICO S.P.A. ,5548127,"126,8",105
EDISON ENERGIA S.P.A.,5173834,"37,6",31272
ENI PLENITUDE S.P.A. SB,4357474,"4,4",169594
HERA COMM S.P.A.,3538915,"27,5",135523
SORGENIA S.P.A.,3338252,"126,3",31940
A2A ENERGIA S.P.A.,3293314,"53,6",96771
REPOWER ITALIA S.P.A.,3228444,"82,8",39387
IREN MERCATO S.P.A.,2960872,"48,1",7283
AXPO ITALIA S.P.A.,2949787,"66,9",117391
ENI GLOBAL ENERGY MARKETS S.P.A.,2681407,n.d.,129870
ALPHERG S.R.L. ,2196711,"98,8",-56394
DUFERCO ENERGIA S.P.A.,2190480,"55,5",13412
EP PRODUZIONE S.P.A.,2154126,165,122925
TERNA SPA,2146812,"5,4",735249
ACEA ENERGIA S.P.A.,1998421,"30,7",10660
SORGENIA TRADING S.P.A.,1929902,"160,3",-1695
CENTREX ITALIA S.P.A.,1739122,"125,6",1968
ITALGAS RETI SPA,1725343,n.d.,362450
DOLOMITI ENERGIA TRADING S.P.A.,1543304,"125,2",-3784
HB TRADING S.P.A.,1428570,"226,9",2366
ENEL GREEN POWER ITALIA S.R.L.,1421226,"41,3",48037
ALPIQ ENERGIA ITALIA S.P.A.,1366795,126,53870
ALPERIA SMART SERVICES SRL,1350129,"50,3",2730
HERA S.P.A.,1324679,"10,8",223761
ALPERIA TRADING SRL,1320545,"80,6",102578
E.ON ENERGIA S.P.A.,1295194,33,45478
EGEA COMMERCIALE S.R.L.,1278162,"57,6",402
REPOWER VENDITA ITALIA S.P.A.,1114413,"67,2",1844
DOLOMITI ENERGIA SOCIETA’ PER AZIONI,1093716,"33,2",-3627
AGSM AIM ENERGIA S.P.A.,1066313,"75,5",6925
GREEN NETWORK S.P.A.,1045328,"-43,6",-242394
SORGENIA POWER S.P.A.,1034770,"92,6",95440
ELECTRADE S.P.A.,994939,"106,7",4122
TIRRENO POWER S.P.A.,991031,"65,3",47003
ESTRA ENERGIE S.R.L.,977308,35,18787
SHELL ENERGY ITALIA S.R.L.,975723,"98,2",-20904
CURA GAS & POWER S.P.A.,974008,"65,9",-180843
ADI ENERGIA S.R.L.,948091,"245,1",22389
ENIPOWER SPA,878923,94,91445
UNOENERGY SOCIETA’ PER AZIONI,872830,"18,8",38723
ERG POWER GENERATION S.P.A.,828512,"29,6",242449
ILLUMIA S.P.A.,792638,"40,6",5319
NOVA AEG S.P.A,753194,"50,8",-1292
2I RETE GAS S.P.A.,717887,"1,7",209099
ACEA ATO 2 S.P.A.,707457,"3,5",121952
2V ENERGY SRL,672854,187,661
CVA ENERGIE S.R.L.,623169,"35,3",4881
C.U.RA. S.C.R.L.,619553,"57,5",-80672
EP PRODUZIONE CENTRALE LIVORNO F. SPA,589335,"239,3",5014
ARETI S.P.A.,584910,"1,1",125362
VIVIGAS S.P.A.,559442,"7,8",21704
UNARETI S.P.A.,507051,"2,3",81236
