"PRENOTAZIONE","NINGRESSO","Titolo","Autore ","Casa editrice","Disponibilità","CDD","ABBREVIAZ","SOGGETTO","ISBN","PAGINE","LUOGOEDIZ","COLLANA","ULTIMOAGG","ANNO_ED","PROGRESSIVO"
,"U00002","Diavolo al ponte lungo, Il","Bacchelli, Riccardo","Mondadori","LIBRO DISPONIBILE","853.9","BAC",,," 407","Milano","Gli Oscar, 24",23/09/2002,"1965",2
,"U00003","Bella estate, La","Pavese, Cesare","Mondadori","LIBRO DISPONIBILE","853.9","PAV",,," 289","Milano","Gli Oscar, 28",23/09/2002,"1965",3
,"U00004","Buio e il miele, Il","Arpino, Giovanni","Rizzoli","LIBRO DISPONIBILE","853.9","ARP",,," 154","Milano",,23/09/2002,"1980",4
,"U00005","Mondo piccolo. Il compagno don Camillo","Guareschi, Giovanni","Rizzoli","LIBRO DISPONIBILE","853.9","GUA",,," 222","Milano","BUR",23/09/2002,"1977",5
,"U00006","Male oscuro, Il","Berto, Giuseppe","Rizzoli","LIBRO DISPONIBILE","853.9","BER",,," 415","Milano","BUR",22/08/2002,"1979",6
,"U00007","Cosa buffa, La","Berto, Giuseppe","Rizzoli","LIBRO DISPONIBILE","853.9","BER",,," 347","Milano","BUR",22/08/2002,"1980",7
,"U00008","Miglior vita, La","Tomizza, Fulvio","Rizzoli","LIBRO DISPONIBILE","853.9","TOM",,," 276","Milano","BUR",25/08/2002,"1979",8
,"U00009","Dolce compagna, La","Castellaneta, Carlo","Rizzoli","LIBRO DISPONIBILE","853.9","CAS",,," 159","Milano","BUR",22/08/2002,"1980",9
,"U00010","Intervista con la storia","Fallaci, Oriana","Rizzoli","LIBRO DISPONIBILE","320.9","FAL","1.Uomini politici-Interviste",," 390","Milano",,22/08/2002,"1974",10
,"U00011","Borgia, I","Gervaso, Roberto","Rizzoli","LIBRO DISPONIBILE","945","GER","1.Borgia (famiglia)",," 389","Milano","BUR, 368",23/08/2002,"1980",11
,"U00012","Casanova","Gervaso, Roberto","Rizzoli","LIBRO DISPONIBILE","940.209 2","GER","1.Casanova, Giacomo-Biografia",," 378","Milano","BUR, 225",23/08/2002,"1978",12
,"U00013","Cagliostro","Gervaso, Roberto","Rizzoli","LIBRO DISPONIBILE","133.092","GER","1.Cagliostro, Alessandro, conte di",," 249","Milano","BUR",23/08/2002,"1980",13
,"U00015","Califfa, La","Bevilacqua, Alberto","Rizzoli","LIBRO DISPONIBILE","853.9","BEV",,," 230","Milano","BUR",22/08/2002,"1979",15
,"U00017","Allegoria e derisione. Una storia italiana, III","Pratolini, Vasco","Mondadori","LIBRO DISPONIBILE","853.9","PRA",,," 620","Milano","Opere di Vasco Prato",24/08/2002,"1966",17
,"U00018","Lettere della Resistenza europea. A cura di Giovanni Pirelli","AA.VV.","Einaudi","LIBRO DISPONIBILE","940.53","LET","1.Resistenza-Europa-Testimonianze",," 344","Torino","Letture per la scuola media, 14",19/09/2002,"1969",18
,"U00022","Pretore di Cuvio, Il","Chiara, Piero","Mondadori","LIBRO DISPONIBILE","853.9","CHI",,," 155","Milano","Oscar narrativa, 683",22/08/2002,"1979",22
,"U00023","Rischio nucleare. Anche scienza e tecnica devono prendere la parola, Il, /di/ Marco Botturi /e altri/","AA.VV.","Jaca Book","LIBRO DISPONIBILE","621.48","RIS","1.Centrali nucleari-Saggi, 2.Energia nucleare-Produzione-Saggi",," 217","Milano","Di fronte e attraverso. Pocket, 42",14/09/2002,"1979",23
,"U00024","Lucrezia Borgia","Bellonci, Maria","Mondadori","LIBRO DISPONIBILE","945.060 92","BEL","1.Borgia, Lucrezia",," 562","Milano","Oscar narrativa, 106",22/08/2002,"1979",24
,"U00025","Tu vipera gentile","Bellonci, Maria","Mondadori","LIBRO DISPONIBILE","853.9","BEL",,," 297","Milano","Oscar narrativa, 668",22/08/2002,"1979",25
,"U00026","Segreti dei Gonzaga","Bellonci, Maria","Mondadori","LIBRO DISPONIBILE","853.9","BEL",,," 355","Milano","Oscar narrativa, 828",22/08/2002,"1979",26
,"U00027","Gisella","Cassola, Carlo","Rizzoli","LIBRO DISPONIBILE","853.9","CAS",,," 200","Milano","BUR",22/08/2002,"1978",27
,"U00028","Tredicesima legione","Magrì, Rosario","Massimo","LIBRO DISPONIBILE","853.9","MAG",,," 286","Milano","Verdi anni, 23",23/09/2002,"1965",28
,"U00029","Mondo piccolo. Don Camillo","Guareschi, Giovanni","Rizzoli","LIBRO DISPONIBILE","853.9","GUA",,," 359","Milano","BUR",23/08/2002,"1980",29
,"U00030","Canne al vento","Deledda, Grazia","Mondadori","LIBRO DISPONIBILE","853.9","DEL",,," 261","Milano","Oscar narrativa, 94",22/08/2002,"1979",30
,"U00031","Factum est","Testori, Giovanni","Rizzoli","LIBRO DISPONIBILE","852.9","TES",,,"  93","Milano",,25/08/2002,"1981",31
