Pastello bianco,Pinguini Tattici Nucleari,[#2, 2020/23]
Shakerando,Rhove,[#1, 2021/23]
Bellissima,Annalisa,[#2, 2022/23]
Giovani Wannabe,Pinguini Tattici Nucleari,[#1, 2022/23]
Quevedo: Bzrp Music Sessions, Vol. 52,Bizarrap & Quevedo,[#4, 2022/23]
La Dolce vita,Fedez & Tananai & Mara Sattei,[#1, 2022/23]
Ricordi,Pinguini Tattici Nucleari,[#1, 2022/23]
Brividi,Mahmood & Blanco,[#1, 2022/23]
La Coda del diavolo,Rkomi & Elodie,[#1, 2021/23]
Dove si balla,Dargen D'Amico,[#2, 2022/23]
Finchè non mi seppelliscono,Blanco,[#5, 2021/23]
Tropicana,Boomdabash & Annalisa,[#1, 2022/23]
As it was,Harry Styles,[#3, 2022/23]
5 gocce,Irama feat. Rkomi,[#2, 2022/23]
Caramello,Rocco Hunt & Elettra Lamborghini & Lola Indigo,[#2, 2022/23]
Farfalle,Sangiovanni,[#4, 2022/23]
Bagno a mezzanotte,Elodie,[#1, 2022/23]
The Loneliest,Maneskin,[#1, 2022/23]
Crazy love,Marracash,[#1, 2021/23]
I'm good (Blue),David Guetta & Bebe Rexha,[#2, 2022/23]
Panico,Lazza & Takagi e Ketra,[#11, 2022/23]
∞ Love,Marracash & Guè Pequeno,[#3, 2021/23]
I love you baby,Jovanotti & Sixpm,[#3, 2022/23]
Nostalgia,Blanco,[#3, 2022/23]
S!r!,tha Supreme feat. Lazza & Sfera Ebbasta,[#5, 2022/23]
Extasi,Fred De Palma,[#6, 2022/23]
Capri sun,Capo Plaza,[#14, 2022/23]
Ciao ciao,La Rappresentante di Lista,[#2, 2022/23]
Abissale,Tananai,[#5, 2022/23]
Mi fiderò,Marco Mengoni feat. Madame,[#2, 2021/23]
Uscito di galera,Lazza,[#23, 2022/23]
Ovunque sarai,Irama,[#2, 2022/23]
Baby Goddamn,Tananai,[#10, 2022/23]
Vieni nel mio cuore,Ultimo,[#10, 2022/23]
abcdefu,Gayle,[#4, 2021/22]
Heat waves,Glass Animals,[#13, 2021/23]
Unholy,Sam Smith & Kim Petras,[#8, 2022/23]
Don't you worry,Black Eyed Peas feat. Shakira & David Guetta,[#5, 2022/23]
Tribale,Elodie,[#5]
Tití me preguntó,Bad Bunny,[#16]
Propaganda,Fabri Fibra feat. Colapesce & Dimartino,[#4]
Bam bam,Camila Cabello feat. Ed Sheeran,[#8]
Hace calor,[remix],Kaleb Di Masi & Sfera Ebbasta & Rvfv & Omar Varela,[#11]
Sapore,Fedez feat. Tedua,[#2, 2021/22]
Piove,Lazza & Sfera Ebbasta,[#11]
Ferrari,[remix],James Hype & Miggy Dela Rosa & Lazza,[#2]
Clap your hands,Kungs,[#9]
Molotov,Lazza,[#23]
Another love,Tom Odell,[#35, 2020/22]
!ly,tha Supreme feat. Coez,[#4]
I ain't worried,OneRepublic,[#13]
Supermodel,Maneskin,[#8]
Ferrari,James Hype & Miggy Dela Rosa,[#15]
Star walkin' (League of Legends Worlds anthem),Lil Nas X,[#18]
Insuperabile,Rkomi,[#6]
Mamma mia,Sfera Ebbasta & Rvssian,[#5]
Snap,[italian],Rosa Linn & Alfa,[#9]
Pare,Ghali feat. Madame,[#12]
Bones,Imagine Dragons,[#13]
In the dark,Purple Disco Machine & Sophie and the Giants,[#14]
No stress,Marco Mengoni,[#9]
Viola,Fedez feat. Salmo,[#3]
Enemy,Imagine Dragons & JID & League of Legends,[#10, 2021/22]
Tete,Ava feat. Medy & Villabanks,[#30]
Hold me closer,Elton John & Britney Spears,[#17]
About damn time,Lizzo,[#9]
Mujer,Icy Subzero,[#22]
Celestial,Ed Sheeran,[#18]
Tutti i miei ricordi,Marco Mengoni,[#8]
Hula-Hoop,Carl Brave & Noemi,[#9]
Bubble,Takagi e Ketra feat. tha Supreme & Salmo,[#10]
O forse sei tu,Elisa,[#4]
Caos,Fabri Fibra & Lazza & Madame,[#9]
Solite pare,Sick Luke & tha Supreme & Sfera Ebbasta,[#3]
Take 4,Shiva,[#5]
Calm down,Rema,[#25]
2 be loved (am I ready),Lizzo,[#16]
Camera 209,Alessandra Amoroso & DB Boulevard,[#13]
Humankind,Coldplay,[#28]
Pensando a lei,Shiva,[#23]
Overpass graffiti,Ed Sheeran,[#15, 2021/22]
Nemesi,Marracash & Blanco,[#14, 2021/22]
Snap,Rosa Linn,[#23]
Ti va di stare bene,Ultimo,[#8]
Late night talking,Harry Styles,[#18]
Occhi rossi,Coez,[#23, 2021/22]
Lei,Neima Ezza feat. Rondodasosa,[#43]
L'Eccezione,Madame,[#7]
Pampampampampampampampam,Irama,[#11]
Sesso occasionale,Tananai,[#17]
Veleno,Guè Pequeno,[#13, 2021/22]
Tutte le notti,Tommaso Paradiso,[#16]
La Vita splendida,Tiziano Ferro,[#5]
Litoranea,Elisa & Matilda De Angelis,[#16]
Break my soul,Beyoncè,[#18]
Cancelo,Rhove,[#17]
Bolero,Baby K feat. Mika,[#20]
Hold my hand,Lady GaGa,[#14]
Se lo senti lo sai,Jovanotti,[#17]
Pistole nella Fendi,Niko Pandetta & Tempoxso & Janax,[#32]
