Italodisco,The Kolors
Cenere,Lazza
Mon amour,Annalisa
Due vite,Marco Mengoni
Un Briciolo di allegria,Blanco & Mina
Supereroi,Mr. Rain
Vetri neri,Ava & Anna & Capo Plaza
Disco Paradise,Fedez & Annalisa & Articolo 31
Ci pensiamo domani,Angelina Mango
Tango,Tananai
Rubami la notte,Pinguini Tattici Nucleari
Quevedo: Bzrp Music Sessions, Vol. 52,Bizarrap & Quevedo
Come vuoi,Geolier
Flowers,Miley Cyrus
Gelosa,Finesse feat. Shiva & Sfera Ebbasta & Guè Pequeno
Bon ton,Drillionaire & Lazza & Blanco feat. Sfera Ebbasta & Michelangelo
Fragole,Achille Lauro & Rose Villain
Bellissimissima,Alfa
Parafulmini,Ernia feat. Bresh & Fabri Fibra
Non litighiamo più,Rocco Hunt
X caso,Geolier feat. Sfera Ebbasta
Che t'o dico a fa',Angelina Mango
Pazza musica,Marco Mengoni & Elodie
Il Male che mi fai,Geolier feat. Marracash
(It goes like) Nanana,Peggy Gou
Shakira: Bzrp Music Sessions, Vol. 53,Bizarrap & Shakira
Hoe,Tedua feat. Sfera Ebbasta
Chiagne,Geolier feat. Lazza & Takagi e Ketra
Il Bene nel male,Madame
Non lo sai,Shiva
Everyday,Takagi e Ketra feat. Shiva & Anna & Geolier
Dance the night,Dua Lipa
Un Altro mondo,Merk and Kremont & Tananai & Marracash
Nightmares,Bresh & Pinguini Tattici Nucleari
Cookies n' cream,Guè Pequeno & Anna & Sfera Ebbasta
Due,Elodie
Alta marea,Coez & Frah Quintale
Ragazza sola,Annalisa
Hollywood,Irama & Rkomi & Shablo
Taxi sulla luna,Tony Effe & Emma & Takagi e Ketra
Guasto d'amore,Bresh & Shune
Mezzo mondo,Emma
Baby don't hurt me,David Guetta & Anne-Marie & Coi Leray
Ancora,Rhove
Origami all'alba,Matteo Paolillo feat. Icaro & Lolloflow & Clara
Pelé,Rhove & MadFingerz
Mercy,The Blessed Madonna feat. Jacob Lusk
Lambada,Boomdabash & Paola e Chiara
Made in Italy,Rosa Chemical & Bdope
Splash,Colapesce & Dimartino
Insta lova,Marracash & Guè Pequeno
Mirage,Aribeatz feat. Ozuna & Gims & Sfera Ebbasta
A fari spenti,Elodie
Cadillac,Boro & Artie 5Ive & Andry The Hitmaker
2minuti,Calcutta
La Fine del mondo,Mr. Rain & Sangiovanni
L'Isola delle rose,Blanco
Bloody Mary,Lady GaGa
Un'Altra storia,Marco Mengoni feat. Franco126
Papaya,Villabanks
Arai,Medy feat. Capo Plaza
Si no estas,Inigo Quintero
Importante,Marracash
Aranciata,Madame
Heaven,Boomdabash & Eiffel 65
Substitution,Purple Disco Machine & Kungs
Anelli e collane,Artie 5Ive feat. Anna
Eyes closed,Ed Sheeran
Anche stasera,Sfera Ebbasta feat. Elodie
Destinazione mare,Tiziano Ferro
Where she goes,Bad Bunny
Un milione di notti,Mr. Rain & Clara
Coca Zero,Pinguini Tattici Nucleari
Red light,Tedua
Un Altro show,Shiva feat. Geolier
Mollami Pt.2,Guè Pequeno
Bella fregatura,Ernia
Un Milione di volte,Shiva feat. Sfera Ebbasta
Iniziamo dalla fine,Emma
15 Piani,Sfera Ebbasta feat. Marracash
Chemical,Post Malone
Bailar contigo,Black Eyed Peas & Daddy Yankee
Furore,Paola e Chiara
Single soon,Selena Gomez
All I want for Christmas is you,Mariah Carey
Duemilaminuti,Mara Sattei
Dimmi che c'è,tha Supreme feat. Tedua
O Mar for,Stefano Lentini feat. Matteo Paolillo & Icaro & Lolloflow & Raiz
Che colpa ne ho,Coez & Frah Quintale
Makeba,Jain
Milano,Bia & Sfera Ebbasta & Fivio Foreign
Fantasmi,Rose Villain feat. Geolier
L'Addio,Coma_Cose
A L I,Irama
Bruciasse il cielo,Blanco
Paradiso artificiale,Tedua feat. Baby Gang & Kid Yugi
Lala,Myke Towers
Calcolatrici,Sfera Ebbasta feat. Geolier & Simba La Rue & Baby Gang
Beso,Rosalia & Rauw Alejandro
Malamente,Tedua
