Make,Model,Platform / generation number,European / World classification,Production years,American classification,Model Years (US/Canada),Country of origin,Sold in Europe,Sold in North America,Sold in India,Units produced,Notes
CAR MODELS LIST - Worldwide version,,,,,,,,,,,,
BMW,Dixi 3/15,-,??,1927-1929,,,Germany,Europe,no,no,,Old models pre-war
BMW,3/15,-,??,1929-1932,,,Germany,Europe,no,no,,Old models pre-war
BMW,3/20,-,??,1932-1934,,,Germany,Europe,no,no,,Old models pre-war
BMW,309,-,??,1934-1936,,,Germany,Europe,no,no,,Old models pre-war
BMW,"315, 319, 329",-,??,1934-1937,,,Germany,Europe,no,no,,Old models pre-war
BMW,320,-,??,1937-1938,,,Germany,Europe,no,no,,Old models pre-war
BMW,321,-,??,"1938-1941, 1945-1950",,,Germany,Europe,no,no,,Old models pre-war
BMW,326,-,??,1936-1941,,,Germany,Europe,no,no,,Old models pre-war
BMW,327,-,??,"1936-1941, 1946-1955",,,Germany,Europe,no,no,,Old models pre-war
BMW,335,-,??,1939-1941,,,Germany,Europe,no,no,,Old models pre-war
BMW,328,-,Sports car,1936-1940,,,Germany,Europe,no,no,,Old models pre-war
BMW,"250 Isetta, 300 Isetta",-,Bubble car (4-wheeler),1955-1962,Subcompact car,MY 1955-1962,Germany,Europe,America,no,161728,Old models post-war
BMW,600,-,Small car,1957-1959,Subcompact car,MY 1957-1960,Germany,Europe,America,no,34813,Old models post-war
BMW,700,-,Small car,1959-1964,Subcompact car,MY 1959-1965,Germany,Europe,America,no,188211,Old models post-war
BMW,i3,I01,Small car,2013-____,Subcompact car,MY 2014-____,Germany,Europe,America,no,,
BMW,1-Series,"E81, E82, E87, E88",Compact car,2004-2014,,,Germany,Europe,no,no,,
BMW,1-Series,"F20, F21",Compact car,2011-2019,,,Germany,Europe,no,India,,
BMW,1-Series,F40,Compact car,2019-____,,,Germany,Europe,no,India,,
BMW,2-Series,"F22, F23, F87",Compact sports car,2014-____,Compact car,MY 2015-____,Germany,Europe,America,no,,
BMW,"2-Series Active Tourer, Gran Tourer","F45, F46",Compact MPV,2014-____,,,Germany,Europe,no,?,,
BMW,"2-Series Active Tourer, Gran Tourer",U06,Compact MPV,2021-____,,,Germany,Europe,no,?,,
BMW,2-Series,G42,Compact sports car,2021-____,Compact car,MY ??,Germany,Europe,?,no,,
BMW,2-Series Gran Coupé,F44,Compact car,2019-____,Compact car,MY 2020-____,Germany,Europe,America,no,,
BMW,1-Series,F52,Compact car,2017-____,,,China,no,no,no,,
BMW,"New Class 1602, 1802, 2002","Type 114, E6, E10, E20",Medium car,1966-1975,Compact car,MY 1968-1976,Germany,Europe,America,no,,
BMW,3-Series,E21,Medium car,1975-1983,Compact car,MY 1975-1983?,Germany,Europe,America,no,1364039,
BMW,"3-Series, M3",E30,Medium car,1982-1994,Compact car,MY 1984-1991?,Germany,Europe,America,no,2339520,
BMW,"3-Series, M3",E36,Medium car,1990-2000,Compact car,MY 1992-1999,Germany,Europe,America,no,,
BMW,"3-Series, M3",E46,Medium car,1998-2006,Compact car,MY 1999-2006,Germany,Europe,America,India,,
BMW,"3-Series, M3","E90, E91, E92, E93",Medium car,2005-2013,Compact car,MY 2006-2013,Germany,Europe,America,India,,
BMW,"3-Series, M3","F30, F31, F80,",Medium car,2012-____,Compact car,MY 2013-____,Germany,Europe,America,India,,Also F35 long-wheelbase sedan sold only in China
BMW,"4-Series, M4","F32, F33, F36, F82, F83",Medium sports car,2013-____,Compact car,MY 2014-____,Germany,Europe,America,India,,
BMW,"3-Series, M3","G20, G21",Medium car,2019-____,Compact car,MY 2020-____,Germany,Europe,America,India,,
BMW,"4-Series, M4","G22, G23, G26",Medium sports car,2020-____,Compact car,MY ??,Germany,Europe,America,India,,
BMW,3-Series GT,F34,Medium car,2013-2020,Compact car,MY 2014-2019,Germany,Europe,America,India,,
BMW,i4,G26,Medium car,2021-____,Compact car,MY 2022-____,Germany,Europe,America,?,,
BMW,"New Class 1500, 1600, 1800, 2000","Type 115, 116, 118, 120, 121",Large car,1962-1972,Mid-size car,MY 1962-1972,Germany,Europe,America,no,,
BMW,5-Series,E12,Large car,1972-1981,Mid-size car,MY 1975-1981,Germany,Europe,America,no,699094,
